site_id,time_index,vehicle_group,count,time_label
4,45,ALL,119,18:15
4,45,BUS,0,18:15
4,45,CAR,115,18:15
4,45,HGV,4,18:15
4,46,ALL,141,18:30
4,46,BUS,0,18:30
4,46,CAR,134,18:30
4,46,HGV,7,18:30
4,47,ALL,117,18:45
4,47,BUS,0,18:45
4,47,CAR,111,18:45
4,47,HGV,6,18:45
5,0,ALL,316,07:00
5,0,BUS,11,07:00
5,0,CAR,251,07:00
5,0,HGV,54,07:00
5,1,ALL,420,07:15
5,1,BUS,16,07:15
5,1,CAR,341,07:15
5,1,HGV,63,07:15
5,2,ALL,413,07:30
5,2,BUS,14,07:30
5,2,CAR,353,07:30
5,2,HGV,46,07:30
5,3,ALL,438,07:45
5,3,BUS,17,07:45
5,3,CAR,373,07:45
5,3,HGV,48,07:45
5,4,ALL,580,08:00
5,4,BUS,25,08:00
5,4,CAR,515,08:00
5,4,HGV,40,08:00
5,5,ALL,571,08:15
5,5,BUS,37,08:15
5,5,CAR,499,08:15
5,5,HGV,35,08:15
5,6,ALL,566,08:30
5,6,BUS,36,08:30
5,6,CAR,477,08:30
5,6,HGV,53,08:30
5,7,ALL,552,08:45
5,7,BUS,49,08:45
5,7,CAR,468,08:45
5,7,HGV,35,08:45
5,8,ALL,603,09:00
5,8,BUS,47,09:00
5,8,CAR,511,09:00
5,8,HGV,45,09:00
5,9,ALL,563,09:15
5,9,BUS,45,09:15
5,9,CAR,461,09:15
5,9,HGV,57,09:15
5,10,ALL,534,09:30
5,10,BUS,29,09:30
5,10,CAR,444,09:30
5,10,HGV,61,09:30
5,11,ALL,479,09:45
5,11,BUS,30,09:45
5,11,CAR,386,09:45
5,11,HGV,63,09:45
5,12,ALL,455,10:00
5,12,BUS,26,10:00
5,12,CAR,381,10:00
5,12,HGV,48,10:00
5,13,ALL,410,10:15
5,13,BUS,19,10:15
5,13,CAR,332,10:15
5,13,HGV,59,10:15
5,14,ALL,405,10:30
5,14,BUS,21,10:30
5,14,CAR,324,10:30
5,14,HGV,60,10:30
5,15,ALL,395,10:45
5,15,BUS,9,10:45
5,15,CAR,324,10:45
5,15,HGV,62,10:45
5,16,ALL,350,11:00
5,16,BUS,15,11:00
5,16,CAR,279,11:00
5,16,HGV,56,11:00
5,17,ALL,429,11:15
5,17,BUS,14,11:15
5,17,CAR,331,11:15
5,17,HGV,84,11:15
5,18,ALL,402,11:30
5,18,BUS,15,11:30
5,18,CAR,327,11:30
5,18,HGV,60,11:30
5,19,ALL,428,11:45
5,19,BUS,17,11:45
5,19,CAR,339,11:45
5,19,HGV,72,11:45
5,20,ALL,444,12:00
5,20,BUS,13,12:00
5,20,CAR,352,12:00
5,20,HGV,79,12:00
5,21,ALL,397,12:15
5,21,BUS,15,12:15
5,21,CAR,314,12:15
5,21,HGV,68,12:15
5,22,ALL,419,12:30
5,22,BUS,14,12:30
5,22,CAR,353,12:30
5,22,HGV,52,12:30
5,23,ALL,438,12:45
5,23,BUS,15,12:45
5,23,CAR,364,12:45
5,23,HGV,59,12:45
5,24,ALL,426,13:00
5,24,BUS,12,13:00
5,24,CAR,357,13:00
5,24,HGV,57,13:00
5,25,ALL,415,13:15
5,25,BUS,11,13:15
5,25,CAR,339,13:15
5,25,HGV,65,13:15
5,26,ALL,364,13:30
5,26,BUS,10,13:30
5,26,CAR,289,13:30
5,26,HGV,65,13:30
5,27,ALL,412,13:45
5,27,BUS,19,13:45
5,27,CAR,344,13:45
5,27,HGV,49,13:45
5,28,ALL,430,14:00
5,28,BUS,12,14:00
5,28,CAR,369,14:00
5,28,HGV,49,14:00
5,29,ALL,431,14:15
5,29,BUS,14,14:15
5,29,CAR,367,14:15
5,29,HGV,50,14:15
5,30,ALL,437,14:30
5,30,BUS,18,14:30
5,30,CAR,376,14:30
5,30,HGV,43,14:30
5,31,ALL,428,14:45
5,31,BUS,17,14:45
5,31,CAR,349,14:45
5,31,HGV,62,14:45
5,32,ALL,384,15:00
5,32,BUS,13,15:00
5,32,CAR,311,15:00
5,32,HGV,60,15:00
5,33,ALL,431,15:15
5,33,BUS,18,15:15
5,33,CAR,366,15:15
5,33,HGV,47,15:15
5,34,ALL,426,15:30
5,34,BUS,17,15:30
5,34,CAR,363,15:30
5,34,HGV,46,15:30
5,35,ALL,416,15:45
5,35,BUS,14,15:45
5,35,CAR,351,15:45
5,35,HGV,51,15:45
5,36,ALL,436,16:00
5,36,BUS,20,16:00
5,36,CAR,372,16:00
5,36,HGV,44,16:00
5,37,ALL,491,16:15
5,37,BUS,25,16:15
5,37,CAR,419,16:15
5,37,HGV,47,16:15
5,38,ALL,472,16:30
5,38,BUS,28,16:30
5,38,CAR,404,16:30
5,38,HGV,40,16:30
5,39,ALL,559,16:45
5,39,BUS,28,16:45
5,39,CAR,493,16:45
5,39,HGV,38,16:45
5,40,ALL,511,17:00
5,40,BUS,26,17:00
5,40,CAR,457,17:00
5,40,HGV,28,17:00
5,41,ALL,532,17:15
5,41,BUS,29,17:15
5,41,CAR,475,17:15
5,41,HGV,28,17:15
5,42,ALL,512,17:30
5,42,BUS,24,17:30
5,42,CAR,474,17:30
5,42,HGV,14,17:30
5,43,ALL,561,17:45
5,43,BUS,17,17:45
5,43,CAR,521,17:45
5,43,HGV,23,17:45
5,44,ALL,577,18:00
5,44,BUS,20,18:00
5,44,CAR,537,18:00
5,44,HGV,20,18:00
5,45,ALL,553,18:15
5,45,BUS,18,18:15
5,45,CAR,513,18:15
5,45,HGV,22,18:15
5,46,ALL,499,18:30
5,46,BUS,11,18:30
5,46,CAR,466,18:30
5,46,HGV,22,18:30
5,47,ALL,527,18:45
5,47,BUS,11,18:45
5,47,CAR,503,18:45
5,47,HGV,13,18:45
6,0,ALL,1285,07:00
6,0,BUS,32,07:00
6,0,CAR,657,07:00
6,0,HGV,596,07:00
6,1,ALL,1368,07:15
6,1,BUS,35,07:15
6,1,CAR,729,07:15
6,1,HGV,604,07:15
6,2,ALL,1537,07:30
6,2,BUS,40,07:30
6,2,CAR,913,07:30
6,2,HGV,584,07:30
6,3,ALL,1378,07:45
6,3,BUS,28,07:45
6,3,CAR,810,07:45
6,3,HGV,540,07:45
6,4,ALL,1477,08:00
6,4,BUS,45,08:00
6,4,CAR,900,08:00
6,4,HGV,532,08:00
6,5,ALL,1457,08:15
6,5,BUS,49,08:15
6,5,CAR,877,08:15
6,5,HGV,531,08:15
6,6,ALL,1409,08:30
6,6,BUS,53,08:30
6,6,CAR,836,08:30
6,6,HGV,520,08:30
6,7,ALL,1432,08:45
6,7,BUS,50,08:45
6,7,CAR,919,08:45
6,7,HGV,463,08:45
6,8,ALL,1239,09:00
